"Centre.Name...Centre","Country...Centre","number_of_visits"
"Birmingham - BCH - CAH","United Kingdom",19
"Cambridge - CUH","United Kingdom",62
"Doncaster - DBTH","United Kingdom",41
"Edinburgh - RHC","United Kingdom",10
"Glasgow - RHC","United Kingdom",199
"Leeds - LCH","United Kingdom",11
"Leicester - LRI","United Kingdom",21
"London - KCH","United Kingdom",7
"London - QMUL - Barts adults","United Kingdom",2
"London - QMUL - Barts paeds","United Kingdom",8
"Manchester - RMCH","United Kingdom",96
"Nottingham - NUH","United Kingdom",23
"Oxford - CH","United Kingdom",1
"Sheffield - SCH","United Kingdom",100
"Southampton - UHS","United Kingdom",45
